english,transcription,russian,mnemonic_list
heater,['hiːtə],кипятильник,['ХИТрАя Настя скипятила воды с помощью кипятильника и развела в ней еду для кошки']
boil,[bɔɪl],кипятить,['БрОЙЛерных цыплят кипятить тщательнее']
adobe,[ə'dəubɪ],кирпич,"['УДОБный кирпич для подставки', 'БРИГадир кирпич украл', 'на БРИКет мороженного упал кирпич', 'БРИКет торфа похож на кирпич', 'страны БРИКс строят кирпичную стену между ними и западом']"
brick,[brɪk],кирпичный,['БРИГадир кирпич украл']
acid,['æsɪd],кислота,['А СИДишь алхимик кислоту глотая']
acerb(ic),[ə'sɜːb(ɪk)],кислый,"['ОСОБо кислый сок', 'СОУс кислый', 'С кислой миной СОва УРчит', 'САУРон (персонаж книги: Властелин колец) ел кислый борщ, принесённый орками.', 'В ТАРТу делают самый вкусный кислый пирог с фруктами.']"
whale,[(h)weɪl],кит,['Кит проглотил ВЕЙЛосипед (велосипед).']
intestine,[ɪn'testɪn],кишечник,['воИН ТЕСТо и вИНо в кишечнике врага нашел']
gut,[gʌt],кишка,['Кишка тонка драться с шаолинем ГАД.']
keyboard,['kiːbɔːd],клавиатура,"['КИБОРГ с клавиатурой - это современные дети, сидящие за компом целыми днями']"
cemetery,['semətrɪ],кладбище,"['Все кладбища должны быть СЭМИТРИчными (симметричными).', 'СИММЕТРИчное кладбище']"
tribe,[traɪb],клан,['в ТРАве Большой засело племя']
bow,[bau],кланяться,['БОрец поклонился']
valve,[vælv],клапан,['ВАЛ Волны бил в клапан']
classroom,['klɑːsrum],класс,"['КЛАСная РЮМка стоит в нашем классе', 'КАНДидат -это разновидность (особый сорт) людей.']"
classify,['klæsɪfaɪ],классифицировать,['фрукты можно КЛАССИфицировать по Форме и зАпаху - легко наЙти нужный.']
box,[bɔks],класть,"['БОКСер бил по коробке', 'на БРИКет мороженного упал кирпич', 'ЛЕнина положили в мавзоЛЕЙ', 'Я хочу класть... на ПУТану.', 'положить на ПУТану доллар', 'положили еду в ПУТь', 'положите на ПУТь бревно и представте живо все, что за этим последует...', 'ПУТана-это слово как раз от слов положить, уложить класть,ну иногда ставить,поставить кому как больше нравится.', 'класть ПУТы на место', 'ПУТин положил руку на конституцию', 'ПУТин ставил на всех (или положил на всех)', 'Положил ПУТеводитель в карман перед поездкой', 'положили еду в ПУТь', 'класть ПУТь', 'СЕТку лучше не класть на стол.']"
calumny,['kæləmnɪ],клевета,"['То, что от него КАЛОМ НЕсет - это клевета.']"
calumniate,[kə'lʌmnɪeɪt],клеветать,['Злые люди клеветали: “КАЛОМ НЕсЕТ от него”.']
glue,[gluː],клеить,['ГЛУпого шалтая-болтая не склеить']
brand,[brænd],клеймить,['из БРАНсБойта вылетела головешка']
brand,[brænd],клеймо,"['БРЕНДи лучшего качества', 'из БРАНсБойта вылетела головешка', 'печать соломона дает СИЛу']"
clerk,[klɑːk],клерк,['КЛААК и клерк - созвучно.']
cage,[keɪʤ],клетка,"['Не надо КЕЙДЖится (кичиться) своим состоянием, ведь скоро будешь в клетке.', 'николаса КЕЙДЖа посадили в клетку', 'в клетке лаКЕЙ ДЖинсы спрятал', ""o'КЕЙ ДЖонни! клетка тигру - не для обороны! будешь близко к клетке приближаться, риск есть без конечностей остаться!"", 'СЕЛедка торчала из ячеек сетки', 'поСЕЛили СЕЛёдку в клетке', 'СЕЛ за решетку - как в клетке оказался', 'у ЧЕСТного грудная клетка колесом. и хорошо...', 'Солдаты отдают ЧЕСТь груди жены генерала, стоящей на сундуке с ящиком', 'У нас очень часто начинают ЧЕСТвовать , только когда в ящик съиграешь.', 'Он очень ЧЕСТно сказал, в ящик я насрал', 'Грудную клетку решил доктор предпоЧЕСТь любому сундуку и даже ящику', 'Посмотри на грудь солдата -\nордена, медали.\nЭто ЧЕСТЬ его! Ребята\nславно воевали.', 'когда вы говорите :ЧЕСТное слово, то всегда кладете 2 руки на свою грудную клетку, сделайте так и скажите и запомните', 'Грудная клетка ЧЕшется СТрашно', 'когда женщина ЧЕСТь отдавала ее держали за грудь', 'курятник как КУБ']"
